id,texte_df_results,texte_df_final
678798cb7041684afec3698d,"À VENDRE VILLA EXCEPTIONNELLE SUR LES HAUTEURS DE RADES MONGIL
🔹MAXULA IMMOBILIERE vous propose à la VENTE une MAGNIFIQUE VILLA d’une surface bâtie d’environ 500m² répartis sur 3 niveaux sur un terrai...","À VENDRE VILLA EXCEPTIONNELLE SUR LES HAUTEURS DE RADES MONGIL
🔹MAXULA IMMOBILIERE vous propose à la VENTE une MAGNIFIQUE VILLA d’une surface bâtie d’environ 500m² répartis sur 3 niveaux sur un terrain d’une superficie de 580m² idéalement située sur les hauteurs de RADES MONGIL, offrant un cadre de vie unique avec vue imprenable sur la MER et la MONTAGNE DE BOUKORNINE.

🔹AU REZ-DE-JARDIN:
 ✅Un APPARTEMENT S+3 avec accès au JARDIN.
 ✅Un GARAGE pouvant accueillir 3 voitures.
🔹AU REZ-DE-CHAUSSÉE:
 ✅Un vaste SALON lumineux avec accès à un BALCON PANORAMIQUE.
 ✅Une CUISINE avec son coin SALLE À MANGER.
 ✅Une TOILETTE pour les invités.
🔹AU PREMIER ÉTAGE:
 ✅4 CHAMBRES À COUCHER dont 2 avec placards, toutes avec un accès à un BALCON.
 ✅Une pièce faisant office de BUREAU.
 ✅Une SALLE DE BAIN.

🔹La VILLA est dotée du CHAUFFAGE CENTRAL, de 3 CLIMATISEURS et possède un TITRE FONCIER INDIVIDUEL.

💵Le PRIX est de 1 300 000 TND.

Pour plus de renseignements, n'hésitez pas à nous contacter :
📧 info@maxulaimmobiliere.tn 
☎️ +21628808309.


"
69383ff08914daae5198a405,"A vendre S+2 à Hammam Lif
frais de visite 30dt
🏠 Maison S+2 à vendre – Hammam-Lif (Centre-ville)
Maison S+2 (salon + 2 chambres) située au 1er étage, d’une surface d’environ 70 m², avec séjour et buan...","A vendre S+2 à Hammam Lif
frais de visite 30dt
🏠 Maison S+2 à vendre – Hammam-Lif (Centre-ville)
Maison S+2 (salon + 2 chambres) située au 1er étage, d’une surface d’environ 70 m², avec séjour et buanderie.
Emplacement : Carré central d’Hammam-Lif, proche de toutes les commodités.

idéal pour une petite famille ou un investissement locatif. Proche commerces, transports et services.

💰 Prix : 130m negociable 

📞 Contact : 97 494 444  ou  93 768 287"
693c9049cd04d08be74a10c2,"Occasion à ne pas raté à vendre villa deux étages indépendant à cité ghazela 
🏡✨ Opportunité Rare à Cité El Ghazela ! Villa S+4 – Deux Étages Indépendants – Terrain 500 m²

À vendre une magnifique vil...","Occasion à ne pas raté à vendre villa deux étages indépendant à cité ghazela 
🏡✨ Opportunité Rare à Cité El Ghazela ! Villa S+4 – Deux Étages Indépendants – Terrain 500 m²

À vendre une magnifique villa idéalement située à Cité Ghazela, à deux pas de l’école El Farabi. Un bien rare offrant espace, confort et potentiel d’investissement.

💎 Caractéristiques du Bien :

🌿 Terrain 500 m² avec grand jardin qui entoure la villa

🏠 Bâti 200 m² par étage

🧱 Deux niveaux totalement indépendants


🏡 Composition :

Rez-de-chaussée : S+4

1er étage : S+4
👉 Parfait pour deux familles, ou pour habiter un étage et louer l’autre !


🚗 Atouts :

Grand garage

Quartier résidentiel calme et recherché

Proximité immédiate des écoles, commerces et transports

Forte demande locative dans la zone


💰 Prix650md
Contact agent immobilier 25745663 "
6914610a145e1617cba4010d,"Villa Montplaisir
🏢 À VENDRE : LA GOULETTE TUNIS Immeuble R+5 avec vue imprenable mer
📍 Emplacement stratégique à La Goulette, AV Habib Bourguiba, bord de mer et un excellent potentiel d’investissemen...","Villa Montplaisir
🏢 À VENDRE : LA GOULETTE TUNIS Immeuble R+5 avec vue imprenable mer
📍 Emplacement stratégique à La Goulette, AV Habib Bourguiba, bord de mer et un excellent potentiel d’investissement locatif !
🔹 Type : Immeuble R+5
Un Appartement salon et 3 chambres par étage vue mer a partir du 3 emme étage
Le 5 emme étage un studio avec terrasse et vue imprenable mer et grand Tunis .
🔹 RDC commercial déjà loué : 70 000 DT/ans
🔹 Bâtiment en très bon état – structure solide, loge gardien , ascenseur,
🔹 Accès facile, proche de toutes commodités (commerces, transports, plage)
💼 Revenu locatif déjà en place
🔐 Idéal pour investisseur
Titre foncier disponibles sur demande à l’agence
📞 Infos & visites (gratuites sur RDV) :
➡ 98 305 239 / 99 984 810
📱 WhatsApp : 98 305 239
📧 immo.keskes@gmail.com
#LaGoulette #immobilier #immeuble #appartements #investissment #commercial #vente #ImmoKeskes #tunisie hashtags, challenges, tendances virales."
694278398914daae519cc9dc,"الف متر برج العامري المساعدين
للبيع الف متر برج العامري المساعدين بيها 2 فيلات او زوز كراجات او سنطاج و بها شهادة ملكية ...على الطريق الرئيسي gp5 100 متر","الف متر برج العامري المساعدين
للبيع الف متر برج العامري المساعدين بيها 2 فيلات او زوز كراجات او سنطاج و بها شهادة ملكية ...على الطريق الرئيسي gp5 100 متر"
69429127cd04d08be74c60d9,"Hammam-Lif Chaabia villa 400 m² à vendre
Hammam-Lif Chaabia bel emplacement, à vendre une jolie villa 400 m² de superficie et environ 600 m² couvert.
 Au rez de chaussée 2 appartements composé d'un sa...","Hammam-Lif Chaabia villa 400 m² à vendre
Hammam-Lif Chaabia bel emplacement, à vendre une jolie villa 400 m² de superficie et environ 600 m² couvert.
 Au rez de chaussée 2 appartements composé d'un salon, hall, salle d'eau avec douche, cuisine et une chambre.
plus 2 studios composé d'un salon, salle d'eau, cuisine et une chambre, plus local de 40 m² de superficie.

Premier étage salon, 3 chambres à coucher, 2 salles de bain, cuisine.

Pour plus de détails veuillez contacter le 22828000 notre négociateur en immobilier."
67879dcded6f33de58c303a5,"À VENDRE EXCEPTIONNELLE VILLA SUR LES HAUTEUR DE RADES MONGIL
🔹MAXULA IMMOBILIERE vous présente une OPPORTUNITÉ UNIQUE d’acquérir une VILLA idéalement située sur les hauteurs de RADES MONGIL. Cette pr...","À VENDRE EXCEPTIONNELLE VILLA SUR LES HAUTEUR DE RADES MONGIL
🔹MAXULA IMMOBILIERE vous présente une OPPORTUNITÉ UNIQUE d’acquérir une VILLA idéalement située sur les hauteurs de RADES MONGIL. Cette propriété, bâtie sur un TERRAIN de 1014m², offre une SURFACE HABITABLE de 300m² répartie sur deux niveaux, complétée par 200m² de DÉPENDANCES.

🔹Au REZ-DE-CHAUSSÉE:
 ✅Un vaste SALON/SÉJOUR lumineux donnant sur le jardin.
 ✅Une belle CUISINE équipée.
 ✅2 CHAMBRES À COUCHER confortables.
 ✅Une SALLE D'EAU.
🔹Au PREMIER ÉTAGE:
 ✅Une spacieuse SUITE PARENTALE comprenant une SALLE DE BAIN PRIVÉE et un DRESSING.
 ✅3 CHAMBRES À COUCHER.
 ✅Une PIÈCE pouvant faire office de BUREAU.
 ✅Une SALLE DE BAIN supplémentaire.

🔹La VILLA est complétée par un vaste GARAGE avec ouverture automatique, une grande CUISINE D'EXTÉRIEUR ainsi qu'une SALLE D'EAU. De plus elle est dotée d'ÉQUIPEMENTS notamment:
 ✅CHAUFFAGE CENTRAL, CLIMATISATION CENTRALISÉE et ISOLATION THERMIQUE.
 ✅PANNEAUX PHOTOVOLTAÏQUES, SYSTÈME D’IRRIGATION ainsi qu'un SYSTÈME D’ALARME et CAMÉRAS DE SURVEILLANCE.

💵Le PRIX est de 2 400 000 TND.

Pour plus de renseignements, n'hésitez pas à nous contacter :
📧 info@maxulaimmobiliere.tn 
☎️ +21628808309.
Réf: V0063052024
"
694291c38914daae519cd810,"Ain-Zaghouan maison à vendre
Prés de la mosquée Ain-Zaghouan bel emplacement, à vendre une jolie maison 110 m² terrain et 190 m² couvert, Rez de chaussée 80 m² couvert et 30 m² terrasse, composé d'un ...","Ain-Zaghouan maison à vendre
Prés de la mosquée Ain-Zaghouan bel emplacement, à vendre une jolie maison 110 m² terrain et 190 m² couvert, Rez de chaussée 80 m² couvert et 30 m² terrasse, composé d'un salon, 3 chambres à coucher, salle de bain, cuisine;
Au premier étage 90 m² couvert composé d'un salon avec balcon, 2 chambres à coucher, salle de bain, cuisine;
Deuxième étage studio 20m².
Pour plus de détails veuillez contacter le 983585790 /  92000316  /  22828000  notre négociateur en immobilier.  "
690b0fb56490817594e3d6d1,"villa morneg 
villa plein pieds 300 mètre carré bâti sur un terrain de 1400 mètre carré.
partie jour: un grand salon , salle à manger, salle d’eau, kitchenette et une cuisine équipée.

partie nuit: de...","villa morneg 
villa plein pieds 300 mètre carré bâti sur un terrain de 1400 mètre carré.
partie jour: un grand salon , salle à manger, salle d’eau, kitchenette et une cuisine équipée.

partie nuit: deux suites parentale, deux chambres à coucher et une salle de bain commune.
pour plus d’information veuillez nous contacter 22691676"
690ce35a8e4e0e4acb5ea7ac,"Villa individuelle a vendre à El Menzah 6 
Cette villa d'une superficie de 616 m² est idéalement située dans un quartier résidentiel calme et prisé d'El Menzah 6.
Elle est érigée sur deux semi-niveaux...","Villa individuelle a vendre à El Menzah 6 
Cette villa d'une superficie de 616 m² est idéalement située dans un quartier résidentiel calme et prisé d'El Menzah 6.
Elle est érigée sur deux semi-niveaux communicants."
693c3d0fcd04d08be749e2e5,"Deux Maisons Indépendantes à Cité Ibn Khaldoun
l’Agence Immobilière JOUINI Vous Propose En Exclusivité Une Maison Composée De Deux Logements Totalement Indépendants, À Cité Ibn Khaldoun, Dans Un Empla...","Deux Maisons Indépendantes à Cité Ibn Khaldoun
l’Agence Immobilière JOUINI Vous Propose En Exclusivité Une Maison Composée De Deux Logements Totalement Indépendants, À Cité Ibn Khaldoun, Dans Un Emplacement Recherché À 5 Minutes Du Bardo, Proche De La Station De Métro Cité El Hadika, De Cité Tahrir, Cité El Omrane, Et Facilement Accessible Via Les Grands Axes Menant À l’Université El Manar (7 À 10 Minutes), Bab Saadoun (15 Minutes), Le Centre-Ville De Tunis Et l’Aéroport Tunis-Carthage,

Caractéristiques Du Bien :

Terrain : 175 M²
Surface Bâtie Totale : 220 M²
110 M² Pour Chaque Niveau
Titre Foncier Individuel
Gaz De Ville Disponible


Deux Maisons Totalement Séparées :
Une Maison Au Rez-De-Chaussée
Une Maison Au Premier Étage
Chaque Maison Possède Sa Propre Entrée Indépendante

Composition De Chaque Maison :
4 Pièces
Salle De Bain
Salle D’eau
Cuisine

Avantage :
La Maison Au Rez-De-Chaussée Bénéficie D’une Grande Terrasse, Idéale Comme Espace Extérieur.

Prix Demandé : 350 000 DT

Un Bien Rare Offrant La Possibilité D’habiter Et De Louer, Ou D’investir Dans Deux Logements Indépendants Dans Un Quartier Très Demandé.
Pour Plus D’informations, Merci De Nous Contacter (+216)55392444 - (+216)28283777"
67879ca7ed6f33de58c302a5,"À VENDRE VILLA S+5 DANS LA QUIÈTUDE DE RADES MONGIL
🔹MAXULA IMMOBILIERE vous propose à la VENTE une somptueuse VILLA S+5 de 240m² bâtie tout en PIERRES sur un terrain d’une SUPERFICIE de 1053m² idéale...","À VENDRE VILLA S+5 DANS LA QUIÈTUDE DE RADES MONGIL
🔹MAXULA IMMOBILIERE vous propose à la VENTE une somptueuse VILLA S+5 de 240m² bâtie tout en PIERRES sur un terrain d’une SUPERFICIE de 1053m² idéalement située dans les collines de RADES MONGIL dans la quiétude et le calme d’un quartier résidentiel.

🔹Au REZ-DE-CHAUSSÉE:
 ✅Un HALL muni de placards de rangements.
 ✅3 CHAMBRES À COUCHER donnant sur une le JARDIN.
 ✅Une SALLE DE BAIN.
 ✅Une CUISINE.
🔹Au PREMIER ÉTAGE:
 ✅Un SALON spacieux qui ouvre sur un grand BALCON avec vue sur le jardin.
 ✅2 CHAMBRES À COUCHER.
 ✅Une SALLE DE BAIN.

🔹La VILLA est raccordée au GAZ DE VILLE, possède le CHAUFFAGE CENTRAL et est entourée d’un grand JARDIN.

🔹TITRE FONCIER INDIVIDUEL.

💵Le PRIX est de 1 300 000 TND.

Pour plus de renseignements, n'hésitez pas à nous contacter :
📧 info@maxulaimmobiliere.tn 
☎️ +21628808309.
Réf: V0091052023

"
69416d7c8914daae519c5da2,"À vendre – Villa sur deux niveaux à la Nouvelle Médina 2
À vendre – Villa sur deux niveaux à la Nouvelle Médina 2

Découvrez cette charmante villa bâtie sur une superficie de 261 m² terrain et 130m² l...","À vendre – Villa sur deux niveaux à la Nouvelle Médina 2
À vendre – Villa sur deux niveaux à la Nouvelle Médina 2

Découvrez cette charmante villa bâtie sur une superficie de 261 m² terrain et 130m² le 1er étage , répartie sur deux niveaux indépendants, idéale pour deux familles ou pour un investissement locatif.

👉 Caractéristiques principales :

Deux entrées de voitures, offrant praticité et confort.

Chaque étage dispose d’une entrée indépendante, garantissant une totale intimité.

🔹 Rez-de-chaussée (S+3) :
Composé d’un salon lumineux, d’une kitchenette fonctionnelle, de trois chambres à coucher dont une suite parentale, et d’une chambre avec terrasse. Équipé d’un climatiseur pour un confort optimal.

🔹 Premier étage :
Un espace accueillant avec salon, kitchenette, et trois chambres à coucher, dont une suite parentale.

Cette villa représente une excellente opportunité pour une habitation familiale ou pour un investissement locatif grâce à la séparation complète entre les deux niveaux.
📞 51 330 191 
"
694195adcd04d08be74c00ed,"duplex s+4 à citè sahafa 
Ce duplex bénéficie d'un emplacement idéal dans un quartier résidentiel calme de Cité El Sahafa. Il s'étend sur deux niveaux.

Au rez-de-chaussée, vous trouverez un espace de...","duplex s+4 à citè sahafa 
Ce duplex bénéficie d'un emplacement idéal dans un quartier résidentiel calme de Cité El Sahafa. Il s'étend sur deux niveaux.

Au rez-de-chaussée, vous trouverez un espace de vie comprenant un salon accueillant. La cuisine, bien aménagée équipée par une hotte et une plaque, dispose également d'un coin repas fonctionnel. Une chambre d'amis, accompagnée d'un point d'eau dédié.

À l'étage, l'espace nuit comprend une suite parentale avec une cabine de douche , deux chambres lumineuses dont une avec un dressing , qui partagent une salle de bain commune.

Enfin, un abri pour voiture est prévu pour garantir confort et sécurité aux futurs propriétaires."
69419fc9cd04d08be74c0763,"📣 Cité la gazelle à Vendre Villa bien située 

🌟 Bonne affaire 🌟
Cité la Gazelle ; emplacement stratégique ; à Vendre grande villa de 2 niveaux très bien située composée de :
📍 RDC 
🔸 un salon salle à...","📣 Cité la gazelle à Vendre Villa bien située 

🌟 Bonne affaire 🌟
Cité la Gazelle ; emplacement stratégique ; à Vendre grande villa de 2 niveaux très bien située composée de :
📍 RDC 
🔸 un salon salle à manger 
🔸 Un séjour 
🔸 Sde
       Sdb
🔸 une cuisine avec débarras 
📍 ÉTAGE :
🔺4 chambres dont 3 avec balcons
  🔺 Sde
     🔺Sdb 
✅ Un jardin 
✅  Des terrasses 
✅ Superficie terrain : 440 m2
🏠 Superficie couverte : 250 m2
✅AVEC TITRE FONCIER
🗝🗝🗝 𝑪𝒐𝒏𝒕𝒂𝒄𝒕𝒆𝒛 𝑨𝒈𝒆𝒏𝒄𝒆 Immobilière Palmarès Immo 
☎ : 26547793"
68ee58843e7ffb8ac15acd0a,"A vendre une coquette villa à Menzah 9 B 
A vendre une coquette villa de 3 niveaux à menzah 9 B derrière la banque Biat située dans un cartier résidentiel trop chic et calme .
Superficie = 550 m²
La v...","A vendre une coquette villa à Menzah 9 B 
A vendre une coquette villa de 3 niveaux à menzah 9 B derrière la banque Biat située dans un cartier résidentiel trop chic et calme .
Superficie = 550 m²
La villa se compose de 3 niveaux : 
Un rez de jardin composé d'un grand salon , 3 cambres et une salle d'eau , un cellier et une cuisine avec une terrasse.
Un rez de chaussée receptionnel composé d'un grand salon salle à manger  avec une cheminée .
Un étage là où se trouve la partie intime : 4 chambres à coucher avec une suite parentale et une salle de bain.
Deux appartements  S+2 et S+3 indépendants 
Un grand jardin qui entoure la villa 
Un abri de voiture
Titre bleu
Prix imbattable : 1500 000 dt négociable 
Pour plus d'infos contactez : +216 52.52.39.52
"
